Project,Organization(s),Year Awarded,Goal,Description,Video url,Website,Instagram,Twitter,Facebook,Original Submission Link
City Year Los Angeles Expansion into two PLAS High Schools: Jordan and Roosevelt,City Year Los Angeles| Partnership for LA Schools,2014,Learn,City Year Los Angeles and Partnership for LA Schools will expand by offering one-on-one mentorship to Roosevelt High School in Boyle Heights and Jordan High School in Watts.,https://www.youtube.com/watch?v=8tBfuIKLAao,http://partnershipla.org/,https://instagram.com/partnershipla/,https://twitter.com/partnershipla,https://www.facebook.com/PartnershipLA,http://myla2050learn.maker.good.is/projects/CYLAPLAS
Thriving in a Hotter Los Angeles—100% Sustainability by 2050,UCLA Grand Challenges,2014,Live,"UCLA Grand Challenges will publish a draft work plan to transform the LA region to 100% sustainability in water and energy by 2050.

",https://www.youtube.com/watch?v=DITouRhKW80,http://www.grandchallenges.ucla.edu/,https://instagram.com/UCLAgrandchallenges/,https://twitter.com/UCLAgc,https://www.facebook.com/UCLAgc,http://myla2050live.maker.good.is/projects/UCLAHotterLA
Special Olympics World Games 2015,Special Olympics World Games 2015,2014,Connect,"The Special Olympics will build capacity to recruit 30,000 volunteers for the World Games in LA in 2015.",https://www.youtube.com/watch?v=DMG32xJ5p-Q,http://www.la2015.org/,https://instagram.com/LA2015,https://twitter.com/LA2015,https://www.facebook.com/LA2015,http://myla2050connect.maker.good.is/projects/LA2015
Kids Play at Pershing Square,Pershing Square Park Advisory Council,2014,Play,The Pershing Square Park Advisory Council will re-establish Pershing Square as the “Living Room” of Downtown Los Angeles and install two playgrounds at the corner of 6th and Olive.,,http://www.laparks.org/pershingsquare/#home,,https://twitter.com/psdowntownla,https://www.facebook.com/PershingSquareLA,http://myla2050play.maker.good.is/projects/KidsplayatPS
Streetcraft LA,Streetcraft LA,2014,Create,"StreetCraft LA will empower low income, at risk, and unemployed youth to improve their economic future through creative economy entrepreneurship.",https://www.youtube.com/watch?v=LDkB_pxZu2k,http://www.streetcraftla.com/,https://instagram.com/streetcraftla/,https://twitter.com/StreetcraftLA,https://www.facebook.com/StreetcraftLA,http://myla2050create.maker.good.is/projects/streetcraftla
Incubator School Programs + Playbook: Open Source 21st Century Entrepreneurial Education,The Incubator School,2014,Learn,The Incubator School will build an open source entrepreneurial education for the 21st century.,https://www.youtube.com/watch?v=2Pjt88MXETw,http://www.incubatorschool.org/,https://instagram.com/incschool,https://twitter.com/incschool,https://www.facebook.com/incubatorschool,http://myla2050learn.maker.good.is/projects/incubator
Avalon Green Alley Demonstration Project,The Trust for Public Land,2014,Live,"The Trust for Public Land will transform trash-filled alleys in South Los Angeles into walkable, bikeable, beautiful green alleys.",,http://www.tpl.org/,https://instagram.com/trustforpublicland/,https://twitter.com/tpl_org,https://www.facebook.com/tpl.org,http://myla2050live.maker.good.is/projects/GreenOurAlleys
Dream Big With @movelatransit,MoveLA,2014,Connect,MoveLA will seed a countywide public conversation around public transportation with a digital media platform and strategy.,https://www.youtube.com/watch?v=wO0XVgSOcoY,http://movela.org/,https://instagram.com/MoveLATransit/,https://twitter.com/MoveLATransit,https://www.facebook.com/movelatransit,http://myla2050connect.maker.good.is/projects/MoveLA
75 School Gardens in Los Angeles Schools!,EnrichLA,2014,Play,"EnrichLA will reach our goal of building 75 school gardens, and will offer their Garden Ranger Program to at least 5,500 additional students.",https://www.youtube.com/watch?v=3CNwJdOyIDQ,http://enrichla.org/,https://instagram.com/enrichlagardens/,https://twitter.com/enrichla,https://www.facebook.com/EnrichLA,http://myla2050play.maker.good.is/projects/enrichla
We Are All LA: a socially conscious business network to end women's homelessness through jobs,Downtown Women’s Center,2014,Create,Downtown Women’s Center will leverage the power of for-profit/non-profit partnerships to work toward ending homelessness for women in Los Angeles through job training and placement.,https://www.youtube.com/watch?v=8GZELMERrSk,http://www.downtownwomenscenter.org/,https://instagram.com/DWCweb/,https://twitter.com/DWCweb,https://www.facebook.com/DWCweb,http://myla2050create.maker.good.is/projects/DTwomenscenter
